The specification is associated with a specific domain but could be implemented 'as-is' to other domains.	80
The specification is domain-agnostic, designed to be implemented in any domain.	100
The specification is only meant to be used as a whole.	20
The specification could be partially implemented but does not make specific provisions towards this.	40
The specification could be partially implemented but includes only guidelines towards this rather than sets of requirements.	60
The specification explicitly foresees sets of requirements that can be implemented incrementally.	80
The specification explicitly foresees sets of requirements that can be implemented incrementally or separately.	100
The specification prevents or does not support data portability.	20
The specification neither addresses data portability nor prevents it.	40
The specification addresses data portability but without specific provisions to enable it.	60
The specification introduces certain aspects that can contribute to enabling data portability.	80
The specification explicitly addresses and enables data portability.	100
The specification prevents or does not support data portability.	20
The specification neither addresses data portability nor prevents it.	40
The specification addresses data portability but without specific provisions to enable it.	60
The specification introduces certain aspects that can contribute to enabling data portability.	80
The specification explicitly addresses and enables data portability.	100
Information needs to be provided whenever this is needed.	20
There is limited reuse of provided information.	40
Provided information is reused, but this is not consistently done.	60
Provided information is reused, but not in all scenarios.	80
Information is provided once-only and reused as needed.	100
The specification prevents or does not support e-accessibility.	20
The specification neither addresses e-accessibility nor prevents it.	40
The specification can contribute and promote e-accessibility, but it is not its main purpose.	60
The specification can enable e-accessibility if combined with other specifications.	80
The specification explicitly addresses and enables e-accessibility.	100
The specification prevents or does not support the secure and trustworthy exchange of data.	20
The specification introduces certain aspects that can contribute to enabling the secure exchange of data.	40
The specification addresses data security and trustworthy data exchange but does not foresee specific provisions to enable them.	60
The specification addresses data security and trustworthy data exchange but specific provisions to enable them are limited.	80
The specification explicitly addresses and enables the secure and trustworthy exchange of data.	100
The specification prevents or does not support the secure and trustworthy processing of data.	20
The specification introduces certain aspects that can contribute to enabling the secure processing of data.	40
The specification addresses data security and trustworthy data processing but does not foresee specific provisions to enable them.	60
The specification addresses data security and trustworthy data processing but specific provisions to enable them are limited.	80
The specification explicitly addresses and enables the secure and trustworthy processing of data.	100
The specification cannot be used in a multilingual context.	20
The specification could be used in a multilingual context but has no specific provisions to facilitate this.	40
The specification foresees limited support for multilingualism.	60
The specification foresees support for multilingualism but this is not complete.	80
The specification is designed to fully support multilingualism.	100
The specification prevents or does not support the long-term preservation .	20
The specification neither addresses the long-term preservation nor prevents it.	40
The specification addresses the long-term preservation of electronic resources (information, data, etc) in a limited manner.	60
The specification addresses long-term preservation of electronic resources (information, data, etc), but not in a complete manner.	80
The specification explicitly addresses and enables long-term preservation.	100
There are no such assessments.	20
There are such assessments that indirectly address the specification.	40
There are such assessments evaluating digital solutions' effectiveness that involve the specification.	60
There are such assessments addressing the specification and its effectiveness together with other specifications.	80
There are such assessments directly addressing the specification.	100
There are no such assessments.	20
There are such assessments that indirectly address the specification.	40
There are assessments evaluating digital solutions' efficiency that involve the specification.	60
There are such assessments addressing the specification and its efficiency together with other specifications.	80
There are such assessments directly addressing the specification.	100
The specification does not include a definition of conformance.	20
The specification defines conformance but not as a set of measurable requirements.	40
The specification defines conformance as requirements that can be measured manually.	60
The specification defines conformance as requirements with resources to enable automated measurement.	80
The specification is complemented by a conformance testing platform to allow testing of implementations.	100
The specification's definition hinders the drafting of such agreements.	20
The specification makes no provisions that would facilitate the drafting of such agreements.	40
The specification defines certain elements to facilitate such agreements.	60
The specification defines most elements to facilitate such agreements.	80
The specification explicitly identifies all elements to be used in drafting such agreements.	100
